,eo_code,be_code,head_type,be_description,eo_class_code,eo_class_description,eo_model_name,eo_category_spec,eo_model_id,eo_description,operation_start_date,expected_operation_period_years,operation_finish_date_calc,sap_planned_finish_operation_date,operation_finish_date_sap_upd,sap_system_status,sap_user_status,be_eo_data_row_no,operation_finish_date_iteration_0,operation_finish_date_iteration_1,operation_finish_date_iteration_2,operation_status,conservation_start_date
0,100000008673,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №1619,2017-12-12,12,2029-12-12 00:00:00,2027-12-12,2027-12-12 00:00:00,УСТН,,,,,,,
1,100000008674,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №1620,2017-12-12,12,2029-12-12 00:00:00,2027-12-12,2027-12-12 00:00:00,УСТН,,,,,,,
2,100000008666,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD785-7,Автосамосвалы в классе 85-110тонн,74.0,Самосвал карьерный HD785-7 №1609,2012-10-04,12,2024-10-04 00:00:00,2023-12-31,2023-12-31 00:00:00,УСТН,,,,,,,
3,100000008667,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD785-7,Автосамосвалы в классе 85-110тонн,74.0,Самосвал карьерный HD785-7 №1610,2012-10-14,12,2024-10-14 00:00:00,2023-12-31,2023-12-31 00:00:00,УСТН,,,,,,,
4,100000008668,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD785-7,Автосамосвалы в классе 85-110тонн,74.0,Самосвал карьерный HD785-7 №1611,2013-01-30,12,2025-01-30 00:00:00,2024-01-30,2024-01-30 00:00:00,УСТН,,,,,,,
5,100000008669,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD785-7,Автосамосвалы в классе 85-110тонн,74.0,Самосвал карьерный HD785-7 №1612,2013-01-30,12,2025-01-30 00:00:00,2024-01-30,2024-01-30 00:00:00,УСТН,,,,,,,
6,100000008670,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD785-7,Автосамосвалы в классе 85-110тонн,74.0,Самосвал карьерный HD785-7 №1613,2013-02-28,12,2025-02-28 00:00:00,2024-02-28,2024-02-28 00:00:00,УСТН,,,,,,,
7,100000008671,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD785-7,Автосамосвалы в классе 85-110тонн,74.0,Самосвал карьерный HD785-7 №1614,2013-03-29,12,2025-03-29 00:00:00,2024-03-29,2024-03-29 00:00:00,УСТН,,,,,,,
8,100000008672,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD785-7,Автосамосвалы в классе 85-110тонн,74.0,Самосвал карьерный HD785-7 №1615,2013-04-26,12,2025-04-26 00:00:00,2024-04-26,2024-04-26 00:00:00,УСТН,,,,,,,
9,100000008661,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,73.0,Самосвал карьерный HD785-5 №1601,2007-07-31,12,2019-07-31 00:00:00,2021-12-30,2021-12-30 00:00:00,МТКУ УСТН,КОНС,,,,,,
10,100000008662,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,73.0,Самосвал карьерный HD785-5 №1603,2007-08-30,12,2019-08-30 00:00:00,2021-12-30,2021-12-30 00:00:00,УСТН,КОНС,,,,,,
11,100000008663,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,73.0,Самосвал карьерный HD785-5 №1604,2007-09-30,12,2019-09-30 00:00:00,2021-12-30,2021-12-30 00:00:00,МТКУ УСТН,КОНС,,,,,,
12,100000008664,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,73.0,Самосвал карьерный HD785-5 №1606,2007-09-30,12,2019-09-30 00:00:00,2022-12-31,2022-12-31 00:00:00,УСТН,,,,,,,
